N,method,seed,rmse_all,rmse_tail,peak,n_c,n_u,r_c,r_u
20,periodic,9,0.093773718324887,0.158967277942478,0.226654925352655,2000,2000,0,0
20,periodic,10,0.0937897857106632,0.159080156655891,0.227150140884831,2000,2000,0,0
20,periodic,11,0.0937810607624751,0.159043887130553,0.226990986950675,2000,2000,0,0
20,periodic,12,0.0938129556683872,0.159174192036054,0.22746487286669,2000,2000,0,0
20,periodic,13,0.0937457828167867,0.15893792862305,0.226727033066481,2000,2000,0,0
20,periodic,14,0.0937707314060186,0.159036203732447,0.2270397134075,2000,2000,0,0
20,periodic,15,0.0937515306219038,0.158929086551415,0.226609052642559,2000,2000,0,0
20,periodic,16,0.0937992885826695,0.159092652747074,0.227154746465366,2000,2000,0,0
20,periodic,17,0.093801984439267,0.159122123271413,0.22728485839982,2000,2000,0,0
20,periodic,18,0.0937336936068876,0.158879325776856,0.226491232578212,2000,2000,0,0
20,periodic,19,0.0937561652662058,0.158944243303686,0.226637817926857,2000,2000,0,0
20,dynamic_dual,0,0.09569264370209,0.164890666111534,0.239053579218151,515.45,103.8,0.742275,0.9481
20,dynamic_dual,1,0.095772394634602,0.165034676645412,0.240548230231312,514.65,105.9,0.742675,0.94705
20,dynamic_dual,2,0.0956187566297452,0.165427940264987,0.24161274054061,513.7,105.95,0.74315,0.947025
20,dynamic_dual,3,0.0958490306585658,0.165416555242704,0.240678872323798,514,108.05,0.743,0.945975
20,dynamic_dual,4,0.095614646335902,0.16548325786129,0.24081666799065,514.65,107.5,0.742675,0.94625
20,dynamic_dual,5,0.0956855669487878,0.165328535417787,0.240854366912814,513.6,103.95,0.7432,0.948025
20,dynamic_dual,6,0.095485066932186,0.164649237562627,0.240245949233341,513.6,104.8,0.7432,0.9476
20,dynamic_dual,7,0.0960530806287531,0.166072790851512,0.241987658055294,514.2,106.1,0.7429,0.94695
20,dynamic_dual,8,0.0958337283758133,0.165342882714034,0.239454625504329,515.05,105.35,0.742475,0.947325
20,dynamic_dual,9,0.0955448463721918,0.164771382735305,0.239493788673364,514.1,112.05,0.74295,0.943975
20,dynamic_dual,10,0.0957054199592223,0.165079786628719,0.240461820481364,513.7,103.95,0.74315,0.948025
20,dynamic_dual,11,0.0955451976943275,0.16525949225942,0.240860108851997,514,107.1,0.743,0.94645
20,dynamic_dual,12,0.0961428735486856,0.165837174238131,0.241174847780073,515.4,102.55,0.7423,0.948725
20,dynamic_dual,13,0.0957623974987452,0.165245807428236,0.240580777902352,514.15,106.9,0.742925,0.94655
20,dynamic_dual,14,0.0960959128415238,0.16560739103137,0.24078555560839,514.8,108.7,0.7426,0.94565
20,dynamic_dual,15,0.0958029119722957,0.165381186499904,0.239228909846013,514.3,104.8,0.74285,0.9476
20,dynamic_dual,16,0.0956223474130722,0.164968762253258,0.240915336569024,513.15,106.3,0.743425,0.94685
20,dynamic_dual,17,0.0956733782373179,0.165307106034786,0.239805372182168,514.2,104,0.7429,0.948
20,dynamic_dual,18,0.0959328724878225,0.165888033353438,0.239802695346228,515.2,108.55,0.7424,0.945725
20,dynamic_dual,19,0.0955514417368128,0.165136320744107,0.241132703369331,514.1,108,0.74295,0.946
