N,method,seed,edge,rmse_edge
10,periodic,15,7,0.0589062534106877
10,periodic,15,8,0.0647751991090278
10,periodic,15,9,0.0719214490416944
10,periodic,15,10,0.0794397321117466
10,periodic,16,1,0.00324735375205452
10,periodic,16,2,0.0439123779903294
10,periodic,16,3,0.0473080335336837
10,periodic,16,4,0.0498339212449201
10,periodic,16,5,0.0520142475713163
10,periodic,16,6,0.0547463297226413
10,periodic,16,7,0.0588965250074899
10,periodic,16,8,0.0647824350942387
10,periodic,16,9,0.0719158125493389
10,periodic,16,10,0.0794329417538911
10,periodic,17,1,0.00324532554796785
10,periodic,17,2,0.0439090487943047
10,periodic,17,3,0.0473059953070887
10,periodic,17,4,0.0498396697645772
10,periodic,17,5,0.0520140203181023
10,periodic,17,6,0.0547460394815708
10,periodic,17,7,0.0589034239425885
10,periodic,17,8,0.0647776957658006
10,periodic,17,9,0.0719224294751561
10,periodic,17,10,0.0794367923576006
10,periodic,18,1,0.0032380272551439
10,periodic,18,2,0.0438990977749397
10,periodic,18,3,0.0473129439152246
10,periodic,18,4,0.0498324627445818
10,periodic,18,5,0.0520154672167691
10,periodic,18,6,0.054747075159816
10,periodic,18,7,0.0589048765013497
10,periodic,18,8,0.0647728085746452
10,periodic,18,9,0.0719333366893332
10,periodic,18,10,0.0794394854664695
10,periodic,19,1,0.00324781167098207
10,periodic,19,2,0.0439162631286406
10,periodic,19,3,0.0473014740640779
10,periodic,19,4,0.049837523778602
10,periodic,19,5,0.0520133417484004
10,periodic,19,6,0.0547467304483421
10,periodic,19,7,0.058898964400809
10,periodic,19,8,0.0647780757146282
10,periodic,19,9,0.0719264268532607
10,periodic,19,10,0.0794644994373539
10,dynamic_dual,0,1,0.0108030123588915
10,dynamic_dual,0,2,0.0423541279393483
10,dynamic_dual,0,3,0.046064306766505
10,dynamic_dual,0,4,0.048732838938133
10,dynamic_dual,0,5,0.0505508644927314
10,dynamic_dual,0,6,0.0539850617231458
10,dynamic_dual,0,7,0.0576599107162291
10,dynamic_dual,0,8,0.0631984523743358
10,dynamic_dual,0,9,0.0705726396985755
10,dynamic_dual,0,10,0.079092723997654
10,dynamic_dual,1,1,0.0107917718367735
10,dynamic_dual,1,2,0.0424037432912113
10,dynamic_dual,1,3,0.0458773427721479
10,dynamic_dual,1,4,0.0492696117643565
10,dynamic_dual,1,5,0.0504938507785235
10,dynamic_dual,1,6,0.0530358060202502
10,dynamic_dual,1,7,0.0571981711489593
10,dynamic_dual,1,8,0.0639905194186024
10,dynamic_dual,1,9,0.0708490528124318
10,dynamic_dual,1,10,0.0790339751163831
10,dynamic_dual,2,1,0.00963289882529225
10,dynamic_dual,2,2,0.0422856415698622
10,dynamic_dual,2,3,0.0459015193711676
10,dynamic_dual,2,4,0.0483126161284383
10,dynamic_dual,2,5,0.0502898775306915
10,dynamic_dual,2,6,0.0528006172793993
10,dynamic_dual,2,7,0.0572227423345316
10,dynamic_dual,2,8,0.0636997723825135
10,dynamic_dual,2,9,0.0709753458823855
10,dynamic_dual,2,10,0.079118675308371
10,dynamic_dual,3,1,0.0107935503870102
10,dynamic_dual,3,2,0.0424027848211392
10,dynamic_dual,3,3,0.045871930433473
10,dynamic_dual,3,4,0.0488933381808254
10,dynamic_dual,3,5,0.0508205512810094
10,dynamic_dual,3,6,0.0535350724625168
10,dynamic_dual,3,7,0.0577459369318483
10,dynamic_dual,3,8,0.0630755623003544
10,dynamic_dual,3,9,0.07067456791799
10,dynamic_dual,3,10,0.0791251352533772
10,dynamic_dual,4,1,0.0108024177047251
10,dynamic_dual,4,2,0.0421048798951396
10,dynamic_dual,4,3,0.045794858870258
10,dynamic_dual,4,4,0.0484315795387153
10,dynamic_dual,4,5,0.0508793620514197
10,dynamic_dual,4,6,0.0529932224015569
10,dynamic_dual,4,7,0.0573298168332102
10,dynamic_dual,4,8,0.0637276460901368
10,dynamic_dual,4,9,0.0702864706572479
10,dynamic_dual,4,10,0.0787837844971463
